Site,Coordinates ,Source for Coordinates,"Decimal Degrees Coordinates (Latitude, Longitude)",Family1,Genus1,species,subspecies,Name as described2,Distribution3 ,Lifeform/Habit4,Original plant part descriptions,Part consumed: Leaf,Part consumed: Fruit,Part consumed: Seed,Part consumed: Flower,Part consumed: Other,Part consumed: Unknown,Source for part consumed,Common name,Source for common name
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Rubiaceae,Breonia ,chinensis,*,Breonia chinensis,Endemic,"Shrub, tree",ripe fruit,*,fruit (ripe),*,*,*,*,Razafindramanana (2011),Valotsy ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Rubiaceae,Psychotria ,subnubila,*,Psychotria aff. subnubila,Endemic,Shrub,mature leaf; ripe fruit,leaf (mature),fruit (ripe),*,*,*,*,Razafindramanana (2011),Pimakiro ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Rubiaceae,Saldinia ,aegialodes,*,Saldina aegiolodes (SIC),Endemic,Shrub,ripe fruit,*,fruit (ripe),*,*,*,*,Razafindramanana (2011),Mangavoa ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Rutaceae,Vepris,aralioides,*,Vepris araliodes (SIC),Endemic,"Shrub, tree",mature leaf; ripe fruit,leaf (mature),fruit (ripe),*,*,*,*,Razafindramanana (2011),Ampolu ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Salicaceae,Flacourtia ,ramontchi,*,Flacourtia ramontchi,Native Not Endemic,"Shrub, tree",ripe fruit,*,fruit (ripe),*,*,*,*,Razafindramanana (2011),Hily 1 ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Salicaceae,Scolopia ,madagascariensis,*,Slocopia madagascariensis (SIC),Endemic,Tree,ripe fruit,*,fruit (ripe),*,*,*,*,Razafindramanana (2011),Lamoty ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Santalaceae,Viscum ,ambongoense,*,Viscum ambongoenis (SIC),Endemic,Parasite,mature leaf,leaf (mature),*,*,*,*,*,Razafindramanana (2011),Velomihantona ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Sapotaceae ,Faucherea ,sp.,*,Faucherea sp.,Endemic,*,ripe fruit,*,fruit (ripe),*,*,*,*,Razafindramanana (2011),Nato ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Solanaceae,Solanum,nigrum ,*,Solanum nigrum,*,*,new leaf; mature leaf; ripe fruit,leaf (immature and mature),fruit (ripe),*,*,*,*,Razafindramanana (2011),Anamamy ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Verbenaceae,Lantana ,camara,*,Lantana camara,Naturalized,Shrub,mature leaf; flower; ripe fruit,leaf (mature),fruit (ripe),*,flower,*,*,Razafindramanana (2011),Radrika ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",?,Unable to identify this name,*,*,Agelaca pentagina,*,*,mature leaf,leaf (mature),*,*,*,*,*,Razafindramanana (2011),Vahika ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",*,*,*,*,Eimahavano,*,*,mature leaf,leaf (mature),*,*,*,*,*,Razafindramanana (2011),*,*
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",*,*,*,*,Foto,*,*,ripe fruit,*,fruit (ripe),*,*,*,*,Razafindramanana (2011),*,*
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",*,*,*,*,Holatra,*,*,mature leaf,leaf (mature),*,*,*,*,*,Razafindramanana (2011),*,*
